Myindex,v[b],v[c],Time,Method,Tgt,Strain,K,BObj
330,0.3623585,14.4586064,1.136999846,M,30,iJR904,1,EX_ac_e
331,0.3623585,14.45860757,0.411000013,O,30,iJR904,1,EX_ac_e
332,0.3623585,7.877452633,0.378000021,P,30,iJR904,1,EX_ac_e
333,0.74527795,3.801644789,1.707000017,M,40,iJR904,1,EX_ac_e
334,0.745293294,3.800855343,0.376999855,O,40,iJR904,1,EX_ac_e
335,0.745293294,3.800653192,0.364000082,P,40,iJR904,1,EX_ac_e
336,0.745268314,3.802142495,0.995000124,M,50,iJR904,1,EX_ac_e
337,0.745293294,3.800855343,0.368999958,O,50,iJR904,1,EX_ac_e
338,0.745293294,3.800653192,0.347000122,P,50,iJR904,1,EX_ac_e
339,0.74528839,3.801107885,1.233999968,M,60,iJR904,1,EX_ac_e
340,0.745293294,3.800855845,0.377000093,O,60,iJR904,1,EX_ac_e
341,0.745293294,3.800653192,0.342999935,P,60,iJR904,1,EX_ac_e
342,0.745293294,3.800855853,1.35800004,M,70,iJR904,1,EX_ac_e
343,0.745293294,3.800853665,0.414999962,O,70,iJR904,1,EX_ac_e
344,0.745293294,3.800653192,0.381999969,P,70,iJR904,1,EX_ac_e
345,0.745293294,3.800855742,1.405999899,M,80,iJR904,1,EX_ac_e
346,0.745293294,3.800855422,0.363000154,O,80,iJR904,1,EX_ac_e
347,0.745293294,3.800653192,0.351000071,P,80,iJR904,1,EX_ac_e
348,0.844586499,1.642713571,1.039999962,M,90,iJR904,1,EX_ac_e
349,0.844586499,1.642468244,0.378000021,O,90,iJR904,1,EX_ac_e
350,0.844586499,1.642462483,0.394999981,P,90,iJR904,1,EX_ac_e
351,0.145756642,17.40034196,1.747999907,M,10,iJR904,2,EX_ac_e
352,0.145756642,17.4003399,1.64199996,O,10,iJR904,2,EX_ac_e
353,0.3623585,14.45837596,1.469000101,P,10,iJR904,2,EX_ac_e
354,0.254749291,16.05164354,2.430999994,M,20,iJR904,2,EX_ac_e
355,0.184389619,17.33138332,1.587000132,O,20,iJR904,2,EX_ac_e
356,0.3623585,14.36625445,1.385999918,P,20,iJR904,2,EX_ac_e
357,0.360318014,14.47317738,1.673000097,M,30,iJR904,2,EX_ac_e
358,0.276584428,15.99707309,1.471999884,O,30,iJR904,2,EX_ac_e
359,0.3623585,14.32019365,1.445000172,P,30,iJR904,2,EX_ac_e
360,0.620353813,6.488335732,1.976999998,M,40,iJR904,2,EX_ac_e
361,0.368779238,14.66276292,1.517999887,O,40,iJR904,2,EX_ac_e
362,0.620388585,6.458546794,1.407999992,P,40,iJR904,2,EX_ac_e
363,0.62037218,6.473792852,2.076999903,M,50,iJR904,2,EX_ac_e
364,0.460974031,13.32845343,1.630000114,O,50,iJR904,2,EX_ac_e
365,0.620388585,6.458546796,1.301000118,P,50,iJR904,2,EX_ac_e
366,0.62038376,6.464565563,2.419000149,M,60,iJR904,2,EX_ac_e
367,0.553168842,11.9941431,1.370999813,O,60,iJR904,2,EX_ac_e
368,0.620388585,6.460796943,1.330999851,P,60,iJR904,2,EX_ac_e
369,0.645363652,10.43541161,1.169000149,M,70,iJR904,2,EX_ac_e
370,0.713488065,4.429096779,1.554000139,O,70,iJR904,2,EX_ac_e
371,0.713488065,4.4264297,1.424999952,P,70,iJR904,2,EX_ac_e
372,0.737558463,6.955502308,1.670000076,M,80,iJR904,2,EX_ac_e
373,0.740059445,3.84952683,1.389000177,O,80,iJR904,2,EX_ac_e
374,0.740059445,3.846446259,1.221999884,P,80,iJR904,2,EX_ac_e
375,0.829753275,3.271424561,1.565999985,M,90,iJR904,2,EX_ac_e
376,0.83326009,1.888653863,1.152999878,O,90,iJR904,2,EX_ac_e
377,0.83326009,1.88864802,0.924000025,P,90,iJR904,2,EX_ac_e
378,0.143615634,22.68404689,4.044999838,M,10,iJR904,3,EX_ac_e
379,0.143615728,22.65999623,5.552999973,O,10,iJR904,3,EX_ac_e
380,0.142388122,17.74691014,5.052000046,P,10,iJR904,3,EX_ac_e
381,0.248815887,16.44599841,2.875,M,20,iJR904,3,EX_ac_e
382,0.184389619,17.33136743,6.399000168,O,20,iJR904,3,EX_ac_e
