,M_B,M_C,KO,KO_i,FBA_B,FBA_C,Strain,FVA_B,FVA_C,tgt,Che,Che_i,K
603,0.862684701842814,0.0,"['GLCptspp', 'PFL']","[1168, 1886]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.636605408364364,50,EX_succ_e,932,2
604,0.5963781947551593,0.0,"['PGM', 'G6PDH2r']","[1873, 1144]",0.8855712275787295,0.0,iAF,0.44278561378936476,6.007811087081801,50,EX_succ_e,932,2
605,0.8734600819368203,0.0,"['PGI', 'PYK']","[1866, 2116]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.656139425584115,50,EX_succ_e,932,2
606,0.6089244066415537,0.0,"['GAPD', 'ALCD2x']","[1156, 239]",0.8855712275787295,0.0,iAF,0.44278561378936476,6.432321398383854,50,EX_succ_e,932,2
607,0.5811881471193149,0.0,"['GAPD', 'MDH']","[1156, 1613]",0.8855712275787295,0.0,iAF,0.44278561378936476,4.941979178495593,50,EX_succ_e,932,2
608,0.5653140135872705,0.5883307736505252,"['PGK', 'FUM']","[1867, 1072]",0.8855712275787295,0.0,iAF,0.44278561378936476,6.062344618794854,50,EX_succ_e,932,2
609,0.60884675001361,0.0,"['GAPD', 'PFL']","[1156, 1886]",0.8855712275787295,0.0,iAF,0.44278561378936476,6.430393977800957,50,EX_succ_e,932,2
610,0.0,0.0,"['LDH_D', 'ACONTb']","[1466, 155]",0.8855712275787295,0.0,iAF,-200.0,-200.0,50,EX_succ_e,932,2
611,0.6089244066382522,0.0,"['GAPD', 'SUCOAS']","[1156, 2220]",0.8855712275787295,0.0,iAF,0.44278561378936476,6.432321398176118,50,EX_succ_e,932,2
612,0.8484266859560428,0.0,"['GND', 'SUCOAS']","[1252, 2220]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.62385540391417,50,EX_succ_e,932,2
613,0.8427759847574318,0.0,"['RPE', 'MDH']","[2104, 1613]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.666161764762364,50,EX_succ_e,932,2
614,0.712067593751534,0.0,"['PFK', 'ENO']","[1880, 696]",0.8855712275787295,0.0,iAF,0.44278561378936476,7.042666580554869,50,EX_succ_e,932,2
615,0.8734600819370848,0.0,"['PGI', 'ACALD']","[1866, 109]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.656139426631853,50,EX_succ_e,932,2
616,0.8613979567271853,0.0,"['PFK', 'ACKr']","[1880, 89]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.605524814728298,50,EX_succ_e,932,2
617,0.8176329424555996,0.8509228678034728,"['FUM', 'MDH3']","[1072, 1615]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.666248394356892,50,EX_succ_e,932,2
618,0.8776155828452032,0.0,"['AKGDH', 'MDH3']","[202, 1615]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.754858769569916,50,EX_succ_e,932,2
619,0.0,0.0,"['RPE', 'ACONTb']","[2104, 155]",0.8855712275787295,0.0,iAF,-200.0,-200.0,50,EX_succ_e,932,2
620,0.8509189032052668,0.0,"['GLCptspp', 'ACKr']","[1168, 89]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.636605409905314,50,EX_succ_e,932,2
621,0.7120675936553844,0.0,"['FBA', 'ENO']","[1005, 696]",0.8855712275787295,0.0,iAF,0.44278561378936476,7.042666580139134,50,EX_succ_e,932,2
622,0.8379874988205995,0.0,"['PGL', 'MDH']","[1868, 1613]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.657617453602143,50,EX_succ_e,932,2
