C_Bio,C_Che,Method,Time,Tgt,Strain,K,Strategy,KIndex,E_Bio,E_Che,ICB_Bio,ICB_Che,ICC_Bio,ICC_Che,ID,Pct_Che,Pct_Bio
0.817632942,0.850922869,P,7.72300005,50,iAF,3,"['ACALD', 'FUM']","[109, 1072]",0.442785614,8.770442989,0.817632942,0.850922868,0.442785614,8.666248393,3253,inf,92.32830933
0.817632942,0.850922868,P,8.75,60,iAF,1,"['FRD2', 'FUM']","[1038, 1072]",0.531342737,7.177770021,0.817632942,0.850922868,0.531342737,7.117346812,3261,inf,92.32830934
0.817632942,0.850922868,P,8.27699995,60,iAF,2,"['FRD2', 'FUM']","[1038, 1072]",0.531342737,7.177770021,0.817632942,0.850922868,0.531342737,7.117346812,3262,inf,92.32830934
0.817632942,0.850922868,P,8.605000019,60,iAF,3,"['FRD2', 'FUM']","[1038, 1072]",0.531342737,7.177770021,0.817632942,0.850922868,0.531342737,7.117346812,3263,inf,92.32830934
0.817632942,0.850922868,P,7.522000074,70,iAF,1,"['FUM', 'MDH3']","[1072, 1615]",0.619899859,5.585097053,0.817632942,0.850922868,0.619899859,5.568445232,3271,inf,92.32830934
0.817632942,0.850922868,P,7.552999973,70,iAF,2,"['FUM', 'MDH3']","[1072, 1615]",0.619899859,5.585097053,0.817632942,0.850922868,0.619899859,5.568445232,3272,inf,92.32830934
0.817632942,0.850922868,P,7.597000122,70,iAF,3,"['FUM', 'MDH3']","[1072, 1615]",0.619899859,5.585097053,0.817632942,0.850922868,0.619899859,5.568445232,3273,inf,92.32830934
0.817632942,0.850922869,P,6.145999908,80,iAF,1,"['AKGDH', 'FUM']","[202, 1072]",0.708456982,3.992424084,0.817632942,0.850922868,0.708456982,3.883303933,3281,inf,92.32830933
0.817632942,0.850922869,P,6.196000099,80,iAF,2,"['AKGDH', 'FUM']","[202, 1072]",0.708456982,3.992424084,0.817632942,0.850922868,0.708456982,3.883303933,3282,inf,92.32830933
0.817632942,0.850922869,P,6.656999826,80,iAF,3,"['AKGDH', 'FUM']","[202, 1072]",0.708456982,3.992424084,0.817632942,0.850922868,0.708456982,3.883303933,3283,inf,92.32830933
0.817632942,0.850922868,P,7.921000004,90,iAF,1,"['FRD2', 'FUM']","[1038, 1072]",0.797014105,2.397671554,0.817632942,0.850922868,0.797014105,1.98858617,3291,inf,92.32830934
0.817632942,0.850922868,P,6.424999952,90,iAF,2,"['FRD2', 'FUM']","[1038, 1072]",0.797014105,2.397671554,0.817632942,0.850922868,0.797014105,1.98858617,3292,inf,92.32830934
0.817632942,0.850922868,P,6.669999838,90,iAF,3,"['FRD2', 'FUM']","[1038, 1072]",0.797014105,2.397671554,0.817632942,0.850922868,0.797014105,1.98858617,3293,inf,92.32830934
