,C_Bio,C_Che,Method,Time,Tgt,Strain,K,Strategy,E_Bio,E_Che,ICB_Bio,ICB_Che,ICC_Bio,ICC_Che
58,0.2415018320297182,0.0800491632518985,P,0.5880000591278076,70,iJO,2,"['GND', 'HEX1']",0.1690512833550579,8.721553882766388,0.2415018320297182,0.0800491632518985,0.1690512833550579,8.721553920356696
59,0.1831092084298418,1.4148332266214434,M,21.79800009727478,70,iJO,2,"['PFL', 'TKT2']",0.1690512833550579,8.721553882766388,0.1831094240822752,0.0606941821440072,0.1690512833550579,3.8934763716361886
60,0.1831094240822701,1.4147875406841104,O,39.54999995231629,70,iJO,3,"['GLCabcpp', 'PFL', 'TKT2']",0.1690512833550579,8.721553882766388,0.1831094240822696,1.4147942327339376,0.1690512833550579,3.893476371611542
61,0.1948076863939272,0.0645717349628766,P,0.8320000171661377,70,iJO,3,"['AKGDH', 'ALCD2x', 'MDH3']",0.1690512833550579,8.721553882766388,0.1948076908983809,0.0645717364559886,0.1690512833550579,8.721553845208996
62,0.1831092106953064,1.414833385193225,M,25.524999856948853,70,iJO,3,"['ACALD', 'PFL', 'TKT2']",0.1690512833550579,8.721553882766388,0.1831094240822682,1.4147942327339986,0.1690512833550579,3.893476371682545
63,0.2400860500268522,0.250371592199603,O,0.8980000019073486,80,iJO,1,['FUM'],0.1932014666914948,5.8907059976206,0.2400860500268259,0.2503713364099685,0.1932014666914948,3.615015040138379
64,0.2415018320297185,0.0800491632518986,P,0.431999921798706,80,iJO,1,['G6PDH2r'],0.1932014666914948,5.8907059976206,0.2415018320297195,0.0800491632518989,0.1932014666914948,5.890706255227234
65,0.2400772127463668,0.2510057808376578,M,12.916000127792358,80,iJO,1,['FUM'],0.1932014666914948,5.8907059976206,0.2400860500268283,0.2503713364099716,0.1932014666914948,3.615014808301752
66,0.2400860500268252,0.2503716600286486,O,3.9170000553131104,80,iJO,2,"['FUM', 'PGL']",0.1932014666914948,5.8907059976206,0.2400860500268269,0.2503713364099649,0.1932014666914948,3.615015040143618
67,0.1948076863939274,0.0645717349628439,P,0.4809999465942383,80,iJO,2,"['ACALD', 'PYK']",0.1932014666914948,5.8907059976206,0.1948076863939279,0.0645717349628769,0.1932014666914948,0.6197628239516618
