,C_Bio,C_Chel,Method,Time,Tgt,Strain,K,Strategy,E_Bio,E_Che,IC_Bio,IC_Che
15,0.55317,12.17709,O,3.983,0.6,iJR904,2,"['FUM', 'ICDHyr']",0.55317,13.02168,0.55317,6.96168
16,0.46097,13.41737,O,5.246,0.5,iJR904,2,"['CS', 'TALA']",0.46097,15.52386,0.46097,9.98048
17,0.36878,14.7339,O,6.459,0.4,iJR904,2,"['CS', 'TALA']",0.36878,18.02605,0.36878,11.98439
18,0.27658,20.50494,O,0.823,0.3,iJR904,2,"['FRD2', 'ICDHyr']",0.27658,20.5049,0.27658,13.98829
19,0.18439,22.87756,O,0.709,0.2,iJR904,2,"['ICDHyr', 'LDH_D']",0.18439,22.87756,0.18439,15.99219
20,0.09219,25.18529,O,0.702,0.1,iJR904,2,"['ICDHyr', 'MDH2']",0.09219,25.18522,0.09219,17.99611
21,-0.0,27.49287,O,0.236,1.4e-16,iJR904,2,"['CS', 'MDH']",0.0,27.49286,0.0,20.0
22,0.92195,0.0,P,0.135,1.0,iJR904,2,"['ACALD', 'FRD2']",0.92195,-0.0,0.92195,0.0
23,0.83255,1.90413,P,1.151,0.9,iJR904,2,"['PGI', 'TKT1']",0.82975,3.7271,0.83255,1.90413
24,0.74006,3.84645,P,1.686,0.8,iJR904,2,"['PGL', 'TPI']",0.73756,7.28433,0.74006,3.84645
25,0.66986,5.37864,P,2.144,0.7,iJR904,2,"['HEX1', 'PGM']",0.64536,10.4353,0.66986,5.37864
26,0.55317,11.96504,P,1.434,0.6,iJR904,2,"['ACKr', 'ICDHyr']",0.55317,13.02168,0.55317,0.31689
27,0.53219,8.38375,P,2.292,0.5,iJR904,2,"['PGK', 'PGL']",0.46097,15.52386,0.53219,8.38375
28,0.53219,8.38375,P,2.104,0.4,iJR904,2,"['GAPD', 'PGL']",0.36878,18.02605,0.53219,8.38375
29,0.53219,8.38375,P,2.16,0.3,iJR904,2,"['G6PDH2r', 'PGK']",0.27658,20.5049,0.53219,8.38375
30,0.53219,8.38375,P,2.126,0.2,iJR904,2,"['PGK', 'PGL']",0.18439,22.87756,0.53219,8.38375
31,0.53219,8.38375,P,2.387,0.1,iJR904,2,"['G6PDH2r', 'PGK']",0.09219,25.18522,0.53219,8.38375
32,0.53219,8.38375,P,3.715,1.4e-16,iJR904,2,"['GAPD', 'PGL']",0.0,27.49286,0.53219,8.38375
0,0.88557,6e-05,M,2.326,1.0,iAF1260,3,"['GLCabcpp', 'PFL', 'PYK']",0.88557,0.0,0.88557,0.0
1,0.79701,2.33059,M,10.867,0.9,iAF1260,3,"['ALCD2x', 'TKT1', 'TKT2']",0.79701,2.39767,0.79701,0.0
2,0.70846,3.94948,M,11.082,0.8,iAF1260,3,"['ACKr', 'TKT2', 'TALA']",0.70846,3.99242,1.0,2000.0
3,0.6199,5.55427,M,5.85,0.7,iAF1260,3,"['ALCD2x', 'TKT1', 'TKT2']",0.6199,5.5851,1.0,2000.0
4,0.53134,7.1579,M,7.526,0.6,iAF1260,3,"['ACKr', 'GND', 'TKT2']",0.53134,7.17777,1.0,2000.0
5,0.44279,8.7705,M,5.85,0.5,iAF1260,3,"['ACALD', 'RPI', 'PYK']",0.44279,8.77044,0.8685,0.0
6,0.35423,10.36317,M,3.486,0.4,iAF1260,3,"['GND', 'RPE', 'PYK']",0.35423,10.36312,0.54818,0.0
7,0.26567,11.95254,M,5.551,0.3,iAF1260,3,"['ACKr', 'TKT2', 'TALA']",0.26567,11.9552,1.0,2000.0
8,0.17711,13.54423,M,3.511,0.2,iAF1260,3,"['GND', 'PGL', 'RPE']",0.17711,13.54418,0.17711,0.0
9,0.08856,15.13321,M,2.669,0.1,iAF1260,3,"['G6PDH2r', 'GND', 'RPE']",0.08856,15.13316,1.0,2000.0
10,0.0,16.72216,M,1.077,1.4e-16,iAF1260,3,"['ACALD', 'AKGDH', 'ICDHyr']",0.0,16.72214,0.0,0.0
11,0.88557,0.00011,O,0.292,1.0,iAF1260,3,"['HEX1', 'PFL', 'PYK']",0.88557,0.0,0.88557,0.0
